#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.010    -98.841   -118.247   -126.823    -27.738    174.755     94.120
      0.020    -99.115   -116.495   -125.878    -27.030    175.595     95.020
      0.030    -99.381   -114.735   -124.923    -26.307    176.437     95.931
      0.040    -99.641   -112.966   -123.959    -25.567    177.284     96.853
      0.050    -99.893   -111.189   -122.986    -24.810    178.134     97.786
      0.060   -100.137   -109.403   -122.003    -24.036    178.987     98.730
      0.070   -100.373   -107.609   -121.011    -23.244    179.844     99.686
      0.080   -100.602   -105.807   -120.009    -22.435    180.704    100.654
      0.090   -100.822   -103.995   -118.998    -21.606    181.567    101.634
      0.100   -101.034   -102.175   -117.977    -20.758    182.434    102.625
      0.110   -101.237   -100.346   -116.945    -19.890    183.303    103.630
      0.120   -101.431    -98.509   -115.904    -19.001    184.174    104.646
      0.130   -101.617    -96.663   -114.852    -18.092    185.049    105.676
      0.140   -101.793    -94.808   -113.790    -17.161    185.925    106.718
      0.150   -101.960    -92.944   -112.718    -16.207    186.804    107.774
      0.160   -102.117    -91.072   -111.635    -15.231    187.684    108.843
      0.170   -102.264    -89.191   -110.541    -14.230    188.567    109.926
      0.180   -102.402    -87.301   -109.436    -13.206    189.450    111.023
      0.190   -102.528    -85.402   -108.320    -12.156    190.335    112.134
      0.200   -102.645    -83.494   -107.193    -11.080    191.221    113.259
      0.210   -102.750    -81.577   -106.055     -9.977    192.107    114.399
      0.220   -102.844    -79.652   -104.905     -8.847    192.993    115.553
      0.230   -102.927    -77.717   -103.744     -7.689    193.879    116.723
      0.240   -102.998    -75.774   -102.571     -6.501    194.764    117.907
      0.250   -103.057    -73.822   -101.386     -5.283    195.648    119.107
      0.260   -103.103    -71.861   -100.189     -4.034    196.531    120.322
      0.270   -103.137    -69.892    -98.979     -2.753    197.412    121.554
      0.280   -103.158    -67.913    -97.758     -1.439    198.289    122.801
      0.290   -103.166    -65.926    -96.523     -0.091    199.164    124.064
      0.300   -103.160    -63.930    -95.276      1.293    200.035    125.344
      0.310   -103.140    -61.925    -94.016      2.712    200.901    126.639
      0.320   -103.105    -59.912    -92.743      4.169    201.761    127.952
      0.330   -103.056    -57.890    -91.457      5.665    202.616    129.281
      0.340   -102.992    -55.860    -90.158      7.200    203.464    130.627
      0.350   -102.912    -53.821    -88.844      8.777    204.303    131.990
      0.360   -102.816    -51.774    -87.518     10.395    205.134    133.370
      0.370   -102.704    -49.718    -86.177     12.058    205.955    134.767
      0.380   -102.575    -47.654    -84.822     13.765    206.765    136.181
      0.390   -102.428    -45.583    -83.453     15.518    207.562    137.611
      0.400   -102.264    -43.503    -82.070     17.320    208.346    139.059
      0.410   -102.082    -41.416    -80.672     19.170    209.115    140.523
      0.420   -101.880    -39.321    -79.259     21.071    209.868    142.004
      0.430   -101.660    -37.219    -77.832     23.024    210.602    143.502
      0.440   -101.420    -35.109    -76.389     25.030    211.317    145.015
      0.450   -101.159    -32.992    -74.931     27.092    212.010    146.545
      0.460   -100.877    -30.869    -73.458     29.210    212.679    148.090
      0.470   -100.575    -28.739    -71.970     31.387    213.323    149.650
      0.480   -100.249    -26.603    -70.465     33.623    213.940    151.224
      0.490    -99.902    -24.460    -68.945     35.920    214.526    152.812
      0.500    -99.531    -22.312    -67.409     38.280    215.079    154.413
      0.510    -99.136    -20.159    -65.857     40.705    215.598    156.026
      0.520    -98.716    -18.001    -64.288     43.195    216.078    157.651
      0.530    -98.272    -15.838    -62.704     45.753    216.517    159.285
      0.540    -97.801    -13.670    -61.103     48.379    216.912    160.929
      0.550    -97.304    -11.500    -59.485     51.074    217.260    162.580
      0.560    -96.779     -9.326    -57.851     53.841    217.557    164.237
      0.570    -96.226     -7.149    -56.200     56.680    217.799    165.898
